name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Tata Nexon 1.2,2018,430000,30000,Petrol,Individual,Manual,0
Mahindra Bolero Power,2019,800000,15000,Diesel,Individual,Manual,0
Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,1
Volkswagen Vento Celeste,2016,650000,70000,Diesel,Individual,Automatic,0
Maruti Eeco 7,2017,390000,24000,Petrol,Individual,Manual,0
Honda City 1.5,2005,100000,120000,Petrol,Individual,Manual,1
Mercedes-Benz New C-Class,2013,1500000,35000,Diesel,Individual,Automatic,0
Maruti SX4 Zxi,2007,175000,78380,Petrol,Individual,Manual,0
Renault Duster 110PS,2012,434999,110000,Diesel,Individual,Manual,1
Ford Figo Diesel,2010,170000,90000,Diesel,Individual,Manual,2
Ford Figo Diesel,2011,190000,90000,Diesel,Individual,Manual,2
Maruti Swift Dzire,2009,250000,150000,Diesel,Individual,Manual,2
Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,2
Maruti Esteem Vxi,2006,140000,70000,Petrol,Individual,Manual,2
Maruti Swift VDI,2017,600000,80362,Diesel,Individual,Manual,0
Hyundai i20 1.2,2012,280000,110000,Petrol,Individual,Manual,2
Chevrolet Beat Diesel,2012,150000,60000,Diesel,Individual,Manual,0
Chevrolet Cruze LTZ,2015,650000,50000,Diesel,Individual,Automatic,0
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,1
BMW 5 Series,2017,2900000,40000,Diesel,Individual,Automatic,0
Chevrolet Enjoy 1.3,2013,425000,20000,Diesel,Dealer,Manual,0
Hyundai EON Era,2014,265000,55000,Petrol,Dealer,Manual,0
Fiat Linea T,2018,890000,1136,Petrol,Dealer,Manual,0
Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,0
Ford Figo Petrol,2014,350000,43000,Petrol,Dealer,Manual,0
Maruti Ciaz ZDi,2016,685000,60000,Diesel,Individual,Manual,0
Skoda Rapid 1.5,2018,940000,2650,Diesel,Dealer,Manual,0
Mahindra XUV500 W6,2017,1000000,40000,Diesel,Individual,Manual,0
Mahindra XUV300 W8,2019,1150000,15000,Petrol,Dealer,Manual,0
Maruti Ertiga SHVS,2016,450000,115962,Diesel,Individual,Manual,1
Nissan Terrano XE,2015,590000,65000,Diesel,Dealer,Manual,0
Maruti S-Cross Facelift,2017,800000,40000,Diesel,Individual,Manual,0
Hyundai i20 Magna,2012,385000,58000,Diesel,Dealer,Manual,0
Mercedes-Benz New C-Class,2013,2000000,15000,Diesel,Individual,Automatic,0
Hyundai EON Era,2012,235000,54000,Petrol,Dealer,Manual,0
Volkswagen Ameo 1.5,2017,640000,56000,Diesel,Dealer,Manual,0
Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,2
Maruti Omni LPG,2009,80000,90000,LPG,Individual,Manual,1
Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,1
Hyundai Verna i,2008,120000,90000,Petrol,Individual,Manual,1
Mahindra Renault Logan,2008,89999,213000,Diesel,Individual,Manual,0
Chevrolet Optra Magnum,2012,180000,120000,Diesel,Individual,Manual,0
Mahindra Scorpio S11,2017,1500000,20000,Diesel,Individual,Manual,0
Hyundai i20 Active,2017,700000,10000,Petrol,Individual,Manual,0
Maruti SX4 Celebration,2012,285000,80000,Diesel,Individual,Manual,1
Hyundai Grand i10,2015,390000,90000,Petrol,Individual,Manual,0
Maruti Alto LXi,2008,125000,80000,Petrol,Individual,Manual,0
Maruti SX4 Zxi,2008,225000,60000,Petrol,Individual,Manual,1
Hyundai i10 Era,2011,175000,139000,Petrol,Individual,Manual,1
Toyota Innova 2.5,2011,1075000,160000,Diesel,Individual,Manual,1
Honda Mobilio V,2014,300000,150000,Diesel,Individual,Manual,0
Toyota Innova 2.5,2010,700000,163000,Diesel,Individual,Manual,3
Tata Indica V2,2009,90000,120000,Diesel,Dealer,Manual,0
Tata Indica Vista,2011,120000,120000,Diesel,Individual,Manual,1
Chevrolet Beat Diesel,2012,220000,100000,Diesel,Individual,Manual,1
Tata Zest Quadrajet,2015,300000,140000,Diesel,Dealer,Manual,0
Skoda Fabia 1.2L,2010,180000,87000,Diesel,Dealer,Manual,1
Maruti 800 Std,2013,170000,70000,Petrol,Individual,Manual,0
Ford Figo Petrol,2015,300000,50000,Petrol,Individual,Manual,1
Toyota Innova 2.5,2014,1050000,70000,Diesel,Individual,Manual,0
Honda Mobilio V,2014,300000,150000,Diesel,Individual,Manual,0
Hyundai Grand i10,2018,465000,25000,Diesel,Individual,Manual,0
Chevrolet Beat Diesel,2011,130000,80000,Diesel,Individual,Manual,1
Datsun GO Plus,2018,434999,10000,Petrol,Individual,Manual,0
Hyundai Grand i10,2018,500000,32000,Petrol,Individual,Manual,0
Maruti Omni MPI,2018,200000,10000,Petrol,Individual,Manual,0
Maruti Baleno Alpha,2017,625000,52000,Petrol,Dealer,Manual,0
Ford Fiesta Classic,2006,110000,120000,Diesel,Individual,Manual,2
Hyundai Elite i20,2019,800000,11240,Petrol,Individual,Manual,0
Hyundai Grand i10,2017,490000,66000,Diesel,Dealer,Manual,0
Maruti Ertiga SHVS,2017,880000,64000,Diesel,Dealer,Manual,0
Hyundai Santro Xing,2013,290000,49000,Petrol,Individual,Manual,0
Tata Sumo GX,2006,115999,100000,Diesel,Individual,Manual,1
Renault KWID RXT,2018,360000,26500,Petrol,Individual,Manual,0
Maruti 800 AC,2002,65000,100000,Petrol,Individual,Manual,1
Maruti Vitara Brezza,2017,685000,72000,Diesel,Dealer,Manual,0
Honda Jazz S,2009,300000,50000,Petrol,Individual,Manual,0
Hyundai i20 1.4,2017,680000,44000,Diesel,Dealer,Manual,0
Maruti Ertiga SHVS,2017,1000000,60000,Diesel,Individual,Manual,1
Tata Sumo SE,2002,100000,120000,Diesel,Individual,Manual,0
Mahindra Xylo E4,2010,160000,130000,Diesel,Individual,Manual,0
Maruti Swift ZDi,2017,450000,70000,Diesel,Individual,Manual,0
Maruti Ertiga VXI,2014,600000,20000,Petrol,Individual,Manual,0
Hyundai i20 1.4,2009,180000,60000,Diesel,Individual,Manual,1
Maruti Alto LXi,2007,100000,195000,Petrol,Individual,Manual,0
Maruti Alto LXi,2010,120000,90000,Petrol,Individual,Manual,1
Hyundai Getz GL,2006,130000,80000,Petrol,Individual,Manual,2
Maruti Wagon R,2011,160000,155000,Petrol,Individual,Manual,0
Mahindra Bolero Power,2019,860000,35000,Diesel,Individual,Manual,0
Hyundai i20 1.2,2018,650000,20000,Petrol,Individual,Manual,1
Maruti Wagon R,2010,100000,80000,Petrol,Individual,Manual,1
Maruti Alto 800,2017,282000,20000,Petrol,Individual,Manual,0
Hyundai i20 Asta,2009,300000,50000,Petrol,Individual,Manual,0
Hyundai i20 Asta,2010,270000,110000,Petrol,Individual,Manual,1
Hyundai Verna 1.6,2013,550000,29000,Diesel,Individual,Manual,0
Mahindra Xylo D2,2013,450000,120000,Diesel,Individual,Manual,0
Mahindra Bolero SLX,2011,430000,70000,Diesel,Individual,Manual,1
Maruti Ertiga VXI,2013,350000,40000,Petrol,Individual,Manual,0
Honda Brio 1.2,2017,350000,20000,Petrol,Individual,Manual,0
Toyota Etios Liva,2013,229999,50000,Petrol,Individual,Manual,1
Maruti Alto 800,2013,110000,50000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2012,395000,49000,Petrol,Individual,Manual,1
Mahindra Scorpio VLS,2011,650000,70000,Diesel,Individual,Automatic,1
Mahindra Bolero SLX,2011,350000,90000,Diesel,Individual,Manual,1
Mahindra XUV500 W11,2020,1400000,25000,Diesel,Dealer,Manual,0
Tata Tiago 1.2,2018,360000,4000,Petrol,Individual,Manual,0
Mahindra Marazzo M8,2018,1300000,10000,Diesel,Individual,Manual,0
Renault Duster 110PS,2015,800000,15000,Diesel,Individual,Manual,0
Hyundai EON Magna,2018,229999,30000,Petrol,Individual,Manual,0
Maruti Wagon R,2014,315000,41000,Petrol,Dealer,Manual,0
Chevrolet Spark 1.0,2012,125000,28000,Petrol,Individual,Manual,0
Maruti Baleno Alpha,2019,700000,16000,Petrol,Individual,Manual,0
Hyundai EON 1.0,2015,160000,70000,Petrol,Individual,Manual,0
Ford Figo Aspire,2017,530000,10832,Petrol,Dealer,Manual,0
Ford Figo Aspire,2018,624000,14681,Diesel,Dealer,Manual,0
Hyundai i10 Era,2009,250000,50000,Petrol,Individual,Manual,0
Mahindra Bolero SLX,2016,585000,51000,Diesel,Dealer,Manual,0
Hyundai Verna 1.4,2015,500000,25000,Petrol,Individual,Manual,0
Chevrolet Sail 1.2,2014,350000,30000,Petrol,Individual,Manual,0
Honda City i-DTEC,2014,495000,80000,Diesel,Dealer,Manual,0
Hyundai Grand i10,2017,500000,50000,Petrol,Individual,Manual,0
Mahindra Bolero Power,2015,430000,200000,Diesel,Individual,Manual,0
Hyundai Grand i10,2013,345000,44000,Petrol,Dealer,Manual,0
Maruti Baleno Sigma,2015,500000,10000,Petrol,Individual,Manual,0
Tata Tiago 1.2,2019,425000,19600,Petrol,Individual,Manual,0
Maruti Wagon R,2005,80000,40000,Petrol,Individual,Manual,1
Chevrolet Beat Diesel,2011,106000,50000,Diesel,Individual,Manual,0
Maruti A-Star Vxi,2009,180000,46730,Petrol,Individual,Manual,0
Datsun GO A,2015,250000,40000,Petrol,Individual,Manual,1
Skoda Yeti Ambition,2011,350000,80000,Diesel,Individual,Manual,0
Maruti Zen LXi,2002,60000,80000,Petrol,Individual,Manual,1
Hyundai Verna CRDi,2018,900000,24000,Diesel,Individual,Manual,0
Ford Aspire Titanium,2017,700000,21170,Diesel,Dealer,Manual,0
BMW 3 Series,2013,2000000,167223,Diesel,Dealer,Automatic,0
Maruti Ertiga SHVS,2017,1000000,40000,Diesel,Individual,Manual,0
BMW X1 sDrive,2011,1375000,60000,Diesel,Individual,Automatic,0
Toyota Innova Crysta,2016,1800000,141440,Diesel,Dealer,Manual,0
Chevrolet Tavera Neo,2007,160000,120000,Diesel,Individual,Manual,2
Mitsubishi Outlander 2.4,2012,525000,140000,Petrol,Individual,Automatic,0
Mahindra XUV500 W8,2012,850000,212814,Diesel,Dealer,Manual,0
Maruti Baleno Alpha,2019,800000,30000,Diesel,Individual,Manual,0
Ford Figo Aspire,2017,700000,88635,Diesel,Dealer,Manual,0
Maruti Swift Dzire,2018,800000,25000,Diesel,Individual,Manual,0
Hyundai i20 1.2,2017,575000,20000,Petrol,Individual,Manual,1
Renault Duster 110PS,2012,350000,110000,Diesel,Individual,Manual,1
Maruti Swift Vdi,2008,250000,120000,Diesel,Individual,Manual,2
Ford Endeavour Titanium,2011,600000,149674,Diesel,Dealer,Manual,1
Mahindra Scorpio 2.6,2007,370000,100000,Diesel,Individual,Manual,2
Maruti Baleno Vxi,2006,80000,120000,Petrol,Individual,Manual,2
Tata Indica DLX,2003,50000,120000,Diesel,Individual,Manual,1
Hyundai Verna CRDi,2018,900000,25000,Diesel,Individual,Manual,0
Maruti Wagon R,2014,300000,35000,Petrol,Individual,Manual,1
Tata Indica LSI,2002,125000,40000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2015,490000,60000,Diesel,Individual,Manual,1
Toyota Etios Liva,2012,300000,50000,Diesel,Individual,Manual,1
Tata Nano STD,2013,55000,25000,Petrol,Individual,Manual,3
Hyundai Grand i10,2016,350000,25000,Petrol,Individual,Manual,0
Hyundai Grand i10,2019,755000,8000,Diesel,Individual,Manual,0
Maruti Ertiga SHVS,2017,720000,60000,Diesel,Individual,Manual,0
Mahindra Bolero SLX,2006,229999,200000,Diesel,Individual,Manual,2
Mahindra Scorpio S7,2018,1100000,20000,Diesel,Individual,Manual,0
Volkswagen Polo Petrol,2013,400000,100000,Petrol,Individual,Manual,0
Hyundai Xcent 1.1,2015,350000,70000,Diesel,Individual,Manual,1
Chevrolet Beat Diesel,2012,159000,68000,Diesel,Dealer,Manual,0
Maruti Swift ZXi,2017,550000,38000,Petrol,Dealer,Manual,0
Maruti Ritz VDi,2013,335000,80000,Diesel,Dealer,Manual,0
Tata Indigo CS,2014,185000,72000,CNG,Dealer,Manual,0
Maruti Eeco 5,2012,229999,75000,CNG,Dealer,Manual,0
Maruti Estilo LXI,2014,225000,43000,Petrol,Dealer,Manual,0
Maruti Swift VXI,2007,250000,120000,Petrol,Individual,Manual,1
Tata Zest Quadrajet,2015,400000,100000,Diesel,Individual,Manual,0
Maruti Swift VDI,2014,470000,163000,Diesel,Individual,Manual,0
Maruti Alto K10,2018,300000,25000,Petrol,Individual,Automatic,0
Maruti Alto LX,2011,145000,25000,Petrol,Individual,Manual,0
Maruti SX4 Vxi,2007,100000,90000,Petrol,Individual,Manual,1
Mahindra Scorpio SLE,2014,500000,70000,Diesel,Individual,Manual,1
Hyundai Santro Xing,2010,130000,98000,CNG,Individual,Manual,1
Chevrolet Cruze LTZ,2010,240000,81925,Diesel,Individual,Manual,0
Ford Figo Diesel,2013,150000,80000,Diesel,Individual,Manual,1
Renault KWID RXT,2017,270000,40000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2014,400000,90000,Diesel,Individual,Manual,0
Hyundai EON Era,2012,200000,46000,Petrol,Individual,Manual,0
Mahindra XUV500 W6,2012,550000,80000,Diesel,Individual,Manual,0
Renault KWID 1.0,2018,325000,35000,Petrol,Individual,Manual,0
Skoda Rapid 1.5,2017,860000,82080,Diesel,Individual,Automatic,0
Mahindra XUV500 W8,2012,600000,200000,Diesel,Individual,Manual,0
Chevrolet Spark 1.0,2009,125000,70000,Petrol,Individual,Manual,0
Maruti 800 AC,2000,60000,40000,Petrol,Individual,Manual,2
Chevrolet Tavera Neo,2010,300000,120000,Diesel,Individual,Manual,2
Ford Fiesta 1.6,2007,190000,60000,Petrol,Individual,Manual,2
Maruti Ertiga VDI,2013,400000,110000,Diesel,Individual,Manual,0
Tata Manza Aura,2011,260000,97000,Diesel,Individual,Manual,1
Maruti Swift VVT,2017,400000,30000,Petrol,Individual,Manual,0
Hyundai i20 Sportz,2010,250000,40000,Petrol,Individual,Manual,0
Hyundai Grand i10,2019,600000,10000,Petrol,Individual,Manual,0
Maruti Zen Estilo,2010,175000,52047,Petrol,Individual,Manual,0
Toyota Innova 2.5,2011,450000,200000,Diesel,Individual,Manual,2
Tata Tiago 1.2,2019,350000,15000,Petrol,Individual,Automatic,1
Maruti Vitara Brezza,2018,800000,50000,Diesel,Individual,Manual,0
Maruti Swift VXI,2011,250000,70000,Petrol,Individual,Manual,1
Maruti Swift VXI,2019,600000,10000,Petrol,Individual,Manual,0
